Cytokine	ES	pval	padj	Group
IL-7	8.928271952	9.06234E-06	5.56686E-05	Mki67
IL-9	3.089080798	0.161860927	0.204706466	Mki67
IL-Y	-0.644656405	0.834518693	0.834518693	Mki67
Leptin	4.794816823	0.000182525	0.000581376	Mki67
LIF	4.322960985	0.005012457	0.009371115	Mki67
LIGHT	4.179758752	0.002599803	0.005081432	Mki67
LT-a1/b2	4.502455373	0.001064114	0.002408259	Mki67
LT-a2/b1	7.035468621	4.61429E-05	0.000188966	Mki67
M-CSF	5.72601367	7.51032E-05	0.00026912	Mki67
Noggin	5.249605728	0.000300355	0.000861017	Mki67
NP	8.092717516	1.38916E-05	7.46675E-05	Mki67
OSM	4.409847458	0.01737668	0.029301853	Mki67
OX40L	2.990015643	0.04394929	0.060961918	Mki67
PRL	4.895334243	0.022266529	0.036825414	Mki67
PSPN	3.666253111	0.001101828	0.002429672	Mki67
RANKL	8.23138179	2.89904E-07	2.77019E-06	Mki67
SCF	7.271220718	1.54843E-05	7.83326E-05	Mki67
TGF-b1	-1.05583261	0.809807943	0.819335095	Mki67
TL1A	1.219719227	0.446588001	0.486159089	Mki67
TNF-a	0.67032177	0.423589218	0.467034266	Mki67
TPO	1.684206481	0.131351783	0.171155353	Mki67
TRAIL	4.584888682	0.00247067	0.004941339	Mki67
TSLP	6.963033515	1.31386E-05	7.46675E-05	Mki67
TWEAK	3.717078385	0.120477223	0.159400633	Mki67
VEGF	5.786970732	3.29761E-05	0.000141797	Mki67
